SEQ_NO,MEDIA_TY,TITLE_NM,PLACE_NM,PLACE_TY,RELATE_PLACE_DC,OPER_TIME,REST_TIME,RSTDE_GUID_CN,ADDR,LC_LA,LC_LO,TEL_NO,LAST_UPDT_DE
3189,drama,돈꽃,임피리얼팰리스 서울,stay,16회에서 강필주(장혁)는 장부천(장승조)의 비밀연인 윤서원(한소희)을 이 호텔로 데려와 중요한 결정을 내린다,"매일 입실 15시, 퇴실 12시",정보없음,연중무휴,서울특별시 강남구 언주로 640,37.51401,127.03585,0234408000,20221125
3190,drama,돈꽃,아셈타워,playground,이 곳은 청아그룹의 본부입니다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 강남구 영동대로 517,37.513147,127.05974,0260000114,20221125
3191,drama,돈꽃,서대문형무소역사관,playground,정말란(이미숙)은 두부를 먹고 누군가를 기다리고 있다.,"11-2월 화-일 09시 30분 - 17시, 3-10월 화-일 09시 30분 - 18시",정보없음,월요일,서울특별시 서대문구 통일로 251,37.574692,126.95649,023608590,20221125
3192,drama,돈꽃,성북로29길 개인주택,stay,16회에서 나모현(박세영) 친가 건물로 등장한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 성북구 성북로29길 5,37.594098,126.99233,0222413114,20221125
3193,drama,돈꽃,원효대교,playground,8화에서 조금 전 아버지가 아버지가 아니라는 소식을 듣고 이곳으로 찾아온 장부천(장승조)은 무심코 자살을 시도한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 영등포구 여의도동 원효대교,37.527046,126.94571,0226703114,20221125
3194,drama,돈꽃,한강 공원 여의도 지구,playground,8화에서 강필주(장혁)가 장부천(장승조)에게 아버지가 아버지가 아니라고 말하는 장면이 나온다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 영등포구 여의동로 290,37.5290674,126.936218,0237800561,20221125
3195,drama,돈꽃,서울마리나 클럽&요트,playground,1회에서 장부천(장승조)은 이 클럽 요트에서 비밀연인 윤서원(한소희)과 만난다.,매일 10시 - 22시,정보없음,연중무휴,서울특별시 영등포구 여의서로 160,37.534829,126.91157,0237808400,20221125
3196,drama,돈꽃,스테이트 타워 남산,playground,정말란(이미숙 분)은 1회에서 청아그룹 본사의 일원으로 등장하는 이곳에서 나기추(박지일 분) 의원을 만난다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 중구 퇴계로 100,37.560342,126.98297,0260205500,20221125
3197,drama,돈꽃,용마랜드,playground,1회에서 어린 장부천(채상우) 납치 사건에 가담한 어린 강필주(조병규)는 후회하며 이 공원에서 그를 탈출시킨다.,매일 10시 - 18시,정보없음,연중무휴,서울특별시 중랑구 망우로70길 118,37.594468,127.105556,024365800,20221125
3198,drama,돈꽃,경원재 앰배서더 인천,stay,드라마에서 청아의 장국환 회장(이순재) 저택으로 등장한다.,"매일 입실 15시, 퇴실 11시",정보없음,연중무휴,인천광역시 연수구 테크노파크로 200,37.391611,126.63723,0327291101,20221125
3199,drama,돈꽃,인천국제공항,playground,8회에서 강필주(장혁)는 나모현(박세영)과 장부천(장승조)이 이곳에서 신혼여행을 떠나며 이별을 고했다.,매일 00시 - 24시,정보없음,연중무휴,인천광역시 중구 공항로 272,37.44919,126.4514,15772600,20221125
3200,drama,돌아와요 아저씨,지혜의 숲,playground,14화에서 이해준(정지훈/비)이 도서관으로 달려온다.,매일 10시 - 20시,정보없음,연중무휴,경기도 파주시 회동길 145,37.7082492,126.686674,050713350144,20221125
3201,drama,돌아와요 아저씨,노보텔 앰배서더 서울 강남,stay,돌아와요 아저씨 2회에서 이 호텔에서 김영수(김인권)와 한은 기탁(김수로)은 새 몸으로 깨어난다.,"매일 입실 15시, 퇴실 12시",정보없음,연중무휴,서울특별시 강남구 봉은사로 130,37.5052868,127.028843,025671101,20221125
3202,drama,돌아와요 아저씨,삼성동 개인주택,stay,"3회에서 김영수(김인권), 신다혜(이민정), 김한나(이레)가 살고 있는 집이다.",매일 00시 - 24시,정보없음,연중무휴,서울특별시 성북구 삼선교로4길 72,37.584495,127.00718,0222415040,20221125
3203,drama,돌아와요 아저씨,서울마리나 클럽&요트,playground,"한홍난(오연서), 최승재(이태환), 송이연(이하늬)은 12회에서 이연의 화보 촬영을 위해 이곳에 온다. 그들이 도착했을 때, 그들은 아무도 보이지 않기 때문에 의심스러워진다. 이것이 나석철(오대환 분)이 실행한 차재국(최원영 분)의 계획이었음을 매니저 홍난이 직접 알고 있다. 후자는 물에 빠지지만 매니저에 의해 구조되는 남겨진 이연을 겁주기 시작한다.",매일 10시 - 22시,정보없음,연중무휴,서울특별시 영등포구 여의서로 160,37.534829,126.91157,0237808400,20221125
3204,drama,돌아와요 아저씨,타르틴베이커리서울,cafe,"한기탁(김수로)의 식당으로 등장하며, 김영이 갔던 곳으로 첫 등장한다.",매일 10시 - 21시,정보없음,연중무휴,서울특별시 용산구 한남대로18길 22,37.534412,127.00853,027922423,20221125
3205,drama,돌아와요 아저씨,낙산공원,playground,7회에서 이해준(비)과 신다혜(이민정)는 같은 비탈길을 걷는다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 낙산길 41,37.580667,127.00746,027437985,20221125
3206,drama,돌아와요 아저씨,월미테마파크,playground,13회 이해준(비)이 이 놀이공원에서 김한나(이레)를 찾는다. 이곳은 그녀가 아버지가 보고 싶다며 집을 뛰쳐나온 곳이다. 이에 마야는 한나에게 김영수(김인권)와 함께 보낼 시간을 조금 허락한다.,"평일 10시 - 21시, 주말 10시 - 23시",정보없음,연중무휴,인천광역시 중구 월미문화로 81,37.471305,126.59629,0327610997,20221125
3252,drama,동백꽃 필 무렵,오이도수산물직판장,playground,동백♥용식 커플이 새벽마다 데이트했던 시장,매일 00시 - 24시 (가게별 상이),정보없음,연중무휴,경기도 시흥시 오이도로 167,37.345856,126.688201,0314335272,20221118
3253,drama,동백꽃 필 무렵,구룡포 북방파제,playground,티저 영상에서 용식이가 달리던 바닷가길,매일 00시 - 24시,정보없음,연중무휴,경상북도 포항시 남구 구룡포읍 구룡포6리,35.988495,129.559689,0542706561,20221118
3254,drama,동백꽃 필 무렵,문화마실,playground,옹산의 하마 동백이가 운영했던 까멜리아가 있는 곳,"월-목 10시 - 21시, 금-일 10시 - 22시",정보없음,연중무휴,경상북도 포항시 남구 구룡포읍 구룡포길 133-1,35.991405,129.559824,0542817773,20221118
3255,drama,동백꽃 필 무렵,문화마실,playground,이 공간의 외관은 동백꽃 필 무렵에서 동백(공효진)이 운영하는 '동백'으로 나타난다.,"월-목 10시 - 21시, 금-일 10시 - 22시",정보없음,연중무휴,경상북도 포항시 남구 구룡포읍 구룡포길 133-1,35.991405,129.559824,0542817773,20221125
3256,drama,동백꽃 필 무렵,호호면옥,restaurant,용식이 엄마가 운영한 백두게장이 자리했던 식당,매일 10시 - 19시 30분,정보없음,"1, 3번째 화요일",경상북도 포항시 남구 구룡포읍 구룡포길 141,35.99106,129.560255,0542762913,20221118
3257,drama,동백꽃 필 무렵,구룡포공원계단,playground,8화에서 황용식(강하)과 오동백(공효진)이 꼭대기 계단에 함께 앉아 있다.,매일 00시 - 24시,정보없음,연중무휴,경상북도 포항시 남구 구룡포읍 구룡포길 145,35.990856,129.56064,0542706561,20221125
3258,drama,동백꽃 필 무렵,구룡포 일본인 가옥거리,playground,드라마의 중요한 배경인 옹산게장거리로 등장한 곳,매일 00시 - 24시,정보없음,연중무휴,경상북도 포항시 남구 구룡포읍 구룡포길 153-1,35.990841,129.560595,0542769605,20221118
3259,drama,동백꽃 필 무렵,동백이집,stay,"오동백(공효진), 그녀의 아들 필구(김강훈), 어머니 조정석(이정은)이 이 집으로 이사한다.",매일 00시 - 24시,정보없음,연중무휴,경상북도 포항시 남구 구룡포읍 구룡포길117번길 19,35.991946,129.56028,0542706561,20221125
3260,drama,동백꽃 필 무렵,구룡포 삼정섬,playground,필구-종렬이 대화를 나누던 다리가 있는 작은 섬,매일 00시 - 24시,정보없음,연중무휴,경상북도 포항시 남구 구룡포읍 삼정리,36.003588,129.576251,0542706561,20221118
3261,drama,동백꽃 필 무렵,서초문화예술공원,playground,마지막회 동백♥용식 커플이 뽀뽀하던 공원,매일 00시 - 24시,정보없음,연중무휴,서울특별시 서초구 바우뫼로12길 40,37.467708,127.030818,0221556860,20221118
3262,drama,동백꽃 필 무렵,구포국수,restaurant,19~20회 동백이와 강종렬이 국수를 먹은 장소,월-토 11시 - (익일) 01시 30분,정보없음,일요일,서울특별시 성북구 성북로12길 2,37.592646,127.002638,027440215,20221118
3263,drama,동백꽃 필 무렵,해방촌 신흥시장,playground,동백꽃 필 무렵의 3~4화(전체 2화)에서 어머니 오동백(공효진)이 아들을 데리러 올 때까지 아들이 이 시장에서 머무른다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 신흥로 95-9,37.545443,126.98494,050713087389,20221125
3264,drama,동백꽃 필 무렵,역사책방,playground,"이 서점은 2회(전체 1회)에 '옹산북스'로 등장한다. 여기에 황용식(강하늘)이 동백(공효진)에게 첫눈에 반해 동백의 'sorry! 대답은 ""that's ok""(해리포터에서 그녀가 방금 읽은 표현)라고 말한다.",매일 11시 30분 - 21시,정보없음,연중무휴,서울특별시 종로구 자하문로10길 24,37.579291,126.97281,027338348,20221125
3265,drama,동백꽃 필 무렵,보령 충청수영성,playground,3~4회 용식이가 동백이를 쫓아가며 꽁냥대던 장소,매일 00시 - 24시,정보없음,연중무휴,충청남도 보령시 오천면 소성리 661-1,36.439845,126.522768,0419304072,20221118
3266,drama,동백꽃 필 무렵,문광저수지 은행나무길,playground,향미가 오토바이를 타고 마지막으로 배달 가던 길,매일 00시 - 24시,정보없음,연중무휴,충청북도 괴산군 문광면 괴산로양곡5길 15,36.766351,127.747669,0438302523,20221118
3267,drama,동백꽃 필 무렵,심천역(경부선),playground,동백이와 용식이가 대성통곡하며 이별했던 옹산역,매일 06시 - 24시,정보없음,연중무휴,충청북도 영동군 심천면 심천로5길 5,36.237422,127.720317,0437403114,20221118
3268,drama,동이,청량사,playground,동이에서 절로 등장한다.,매일 09시 - 19시,정보없음,연중무휴,경상북도 봉화군 명호면 청량산길 199-152,36.78917,128.919,0546721446,20221125
3269,drama,동정 없는 세상,녹사평(용산구청)역,station,차준호(이주승)가 녹사평대로 40길을 따라 집 바로 맞은편에 있는 고가도로를 지나간다.,매일 05시 - (익일) 01시,정보없음,연중무휴,서울특별시 용산구 녹사평대로 195,37.534758,126.98656,0263116291,20221125
3270,drama,두 번째 남편,청아공원기독교전용관,playground,36화에서 봉선화(엄현경)가 있을 때  출소한 그녀는 자신의 아들이 감옥에서 사망했다는 소식을 듣고 이 곳에 안장되었습니다.,매일 08시 - 18시,정보없음,연중무휴,경기도 고양시 일산동구 은마길 129,37.719031,126.80572,0319779911,20221125
3271,drama,두 번째 남편,라페스타,playground,1회에서 드라마 등장인물인 윤재민(차서원)이 이 장소에서 버스킹을 한다.,매일 00시 - 24시 (가게별 상이),정보없음,연중무휴,경기도 고양시 일산동구 중앙로 1305-56,37.661839,126.76796,050713709600,20221125
3272,drama,두 번째 남편,바바라플라워카페,store,21회에서 윤재민(차서원/이창섭)은 '한옥 빵집' 아르바이트를 하던 소꿉친구와 우연히 마주쳤다.,매일 09시 - (익일) 01시,정보없음,연중무휴,경기도 고양시 일산동구 중앙로1261번길 55,37.657622,126.77065,050713245010,20221125
3273,drama,두 번째 남편,MBC일산드림센터,playground,드라마 안에서 '태극그룹'의 본사로 나오는 건물이다,매일 00시 - 24시,정보없음,연중무휴,경기도 고양시 일산동구 호수로 596,37.6547819,126.770815,027894852,20221125
3274,drama,두 번째 남편,라베니체 마치에비뉴,playground,5회에서 트로트 가수 강풍기 역의 윤재민(차서원)과 그가 사랑스럽게 부르는 봉선화(엄현경)는 함께 아르바이트를 한다.,매일 00시 - 24시 (가게별 상이),정보없음,연중무휴,경기도 김포시 김포한강4로 12,39.6406462,128.678802,050713525486,20221125
3275,drama,두 번째 남편,더티 트렁크,cafe,56화에서 빵을 맛보기 위해 봉선화(엄현경)를 데려온다.,매일 09시 - 22시,정보없음,연중무휴,경기도 파주시 지목로 114,37.727554,126.70302,0319469283,20221125
3276,drama,두 번째 남편,지혜의 숲,playground,윤재민(차서원)은 3-4회에서 부모님이 보낸 경호원을 피해 도망치던 중 봉순화(엄현경)와 마주친다.,매일 10시 - 20시,정보없음,연중무휴,경기도 파주시 회동길 145,37.7082492,126.686674,050713350144,20221125
3277,drama,두 번째 남편,서대문형무소역사관,playground,36화에서 봉선화(엄현경)는 누명을 쓰고 수감된 감옥에서 출소합니다.,"11-2월 화-일 09시 30분 - 17시, 3-10월 화-일 09시 30분 - 18시",정보없음,월요일,서울특별시 서대문구 통일로 251,37.574692,126.95649,023608590,20221125
3278,drama,두 번째 남편,올림픽공원,playground,5화에서 윤재경(오승아)과 문상혁(한기웅)이 이 공원에서 소풍 데이트를 했다.,"매일 05시 - 22시 (도보, 자전거 출입), 매일 06시 - 22시 (차량 출입)",정보없음,연중무휴,서울특별시 송파구 올림픽로 424,37.5209657,127.116064,024101114,20221125
3279,drama,두 번째 남편,원효대교,playground,120화에서 봉선화(엄현경)가 그와 헤어지고 그녀의 결정을 받아들이겠다는 메시지를 보낸 후 윤재민(차서원)이 이 다리 발치에 온다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 영등포구 여의도동 원효대교,37.527046,126.94571,0226703114,20221125
3280,drama,두 번째 남편,서울 후암동 아파트,stay,6회에서 그녀가 문상혁(한기웅)과 헤어진 후 집으로 돌아오는 모습에 나온다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 두텁바위로60길 78,37.548122,126.98389,0221996114,20221125
3281,drama,두 번째 남편,후암동 민간아파트,stay,6회에서 봉선화(엄현경)가 문상혁(우찬혁)과 헤어진 후 집으로 돌아오는 모습.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 두텁바위로60길 78,37.548122,126.98389,0221998420,20221125
3282,drama,두 번째 남편,후암동 옥탑방,stay,문상혁(한기웅)이 헤어진 뒤 집으로 돌아오는 6회에서 보듯 봉선화(엄현경)는 둘째 남편에서 아이와 할머니 곱분(성병숙)과 함께 사는 곳이다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 두텁바위로60길 78,37.548122,126.98389,0221996114,20221125
3283,drama,두 번째 남편,소월로 계단 3번,playground,윤재민(차서원/이창섭)은 봉선화(엄현경 분)가 살인죄로 재판을 받는다는 소식을 듣고 33회에서 이 계단을 오르내린다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 소월로 168,37.547514,126.98424,0221996114,20221125
3284,drama,두 번째 남편,연서로 50길 12-5호,playground,이 집은 두 번째 남편에서 대구그룹 오너 윤 가문의 집으로 등장한다,매일 00시 - 24시,정보없음,연중무휴,서울특별시 은평구 연서로50길 12-5,37.640051,126.93909,050714115452,20221125
3285,drama,두 번째 남편,낙산성곽서길,playground,40화에서 윤재민(차서원/이창섭)이 봉선화(엄현경)를 데려온다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 동숭동,37.577948,127.00846,0221485303,20221125
3286,drama,두 번째 남편,창의문뜰,cafe,두 번째 남편의 한옥 빵집 외관이다.,화-일 10시 30분 - 22시,정보없음,월요일,서울특별시 종로구 백석동길 6-5,37.592755,126.96615,023910012,20221125
3287,drama,두 번째 남편,중림동약현성당,playground,1화에서 봉순화(엄현경)와 문상혁(한기웅)은 이 성당 앞에서 서로의 사랑을 약속합니다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 중구 청파로 447-1,37.559115,126.96744,023621891,20221125
3288,drama,두번은 없다,몽마르뜨언덕위 은하수다방,cafe,3회에서 김우재(송원석)는 이 카페에서 전 여자친구 나해리(박아인)를 만난다.,매일 12시 - 23시,정보없음,연중무휴,서울특별시 마포구 토정로 33-1,37.54572,126.91467,0264080248,20221125
3289,drama,두번은 없다,스위스 그랜드 호텔,stay,이 호텔 외관 일부가 구성호텔로 등장한다.,"매일 입실 15시, 퇴실 12시",정보없음,연중무휴,서울특별시 서대문구 연희로 353,37.588838,126.93403,0232165656,20221125
3290,drama,두번은 없다,동작대교,playground,4회에서 최만호(정석용)와 양금희(고수희)는 이 다리에서 더 이상 뒤돌아보지 않고 앞으로의 삶을 즐기기 위해 결심한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 이촌동 동작대교,37.51041,126.981893,0221998580,20221125
3291,drama,두번은 없다,예담헌,stay,이 한옥은 '낙원여관'으로 등장합니다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 북촌로11길 118,37.584017,126.98479,050713245496,20221125
3292,drama,두번은 없다,그랜드 하얏트 인천,stay,드라마에서 이 호텔의 외관은 '구성 호텔'로 등장한다.,"매일 입실 15시, 퇴실 11시",정보없음,연중무휴,인천광역시 중구 영종해안남로321번길 208,37.440449,126.45747,0327451234,20221125
3293,drama,두번째 스무살,아소산 일산본점,restaurant,12회에서 김우철(최원영)은 이 식당에서 교수 친구들을 만나 이야기를 듣습니다.,매일 11시 30분 - 21시 30분,15시 - 17시,연중무휴,경기도 고양시 일산동구 정발산로 128,37.659182,126.78267,0319035333,20221125
3294,drama,두번째 스무살,화이트블럭,playground,김우철(최원영)과 김이진(박효주)이 7회에서 이 장소 야외 카페에서 첫 '운명의 만남'을 가졌고 첫눈에 반한 것이다.,"카페 평일 10시 30분 - 19시, 주말 10시 30분 - 21시, 전시 평일 11시 - 18시, 주말 11시 - 18시 30분",정보없음,연중무휴,경기도 파주시 탄현면 헤이리마을길 72,37.7889189,126.699592,0319924400,20221125
3295,drama,두번째 스무살,이디야 커피랩,cafe,11회에서 하노라(최지우)가 남편 김우철(최원영)에게 이혼을 요구한다.,매일 07시 30분 - (익일) 02시,정보없음,연중무휴,서울특별시 강남구 논현로 636,37.510472,127.033022,025456467,20221125
3296,drama,두번째 스무살,김포국제공항,playground,"3화에서 인생에서 가장 중요한 역을 떠올리면, 하노라(최지우)는 남편과 작은 아들을 데리고 이 공항에서 독일로 출발해 세 사람이 어떻게 이 공항에 도착했는지를 떠올린다. 한국으로 돌아가다",매일 00시 - 24시,정보없음,연중무휴,서울특별시 강서구 하늘길 112,37.558655,126.79228,16612626,20221125
3297,drama,두번째 스무살,건국대학교,playground,이 대학은 드라마에서 하노라(최지우 분)와 차현석(이상윤 분)이 강의하는 대학교로 드라마 메인 촬영지이다,매일 00시 - 24시,정보없음,연중무휴,서울특별시 광진구 능동로 120,37.5425241,127.073699,024503114,20221125
3298,drama,두번째 스무살,유니버셜아트센터,playground,"5, 6회에서 Massa Maren 쇼가 열리는 곳입니다. 하노라(최지우)와 김우철(최원영)은 VIP 티켓을 각자 따로 받았고, 그가 연인 김이진(박효주)과 함께 온 사이 노라는 혼자 온다. 그래서 그녀는 남편이 바람을 피우고 있음을 알게된다.",화-금 09시 - 18시,11시 30분 - 13시,"주말,월요일",서울특별시 광진구 천호대로 664,37.550799,127.08806,050713181740,20221125
3299,drama,두번째 스무살,라꼼마빌딩,playground,6화에서 차현석(이상윤)과 라윤영 (정수영) 이 카페에서 만나 하노라(최지우)가 가진 게 얼마 없다는 걸 그녀에게 말한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 어울마당로 44-1,37.548951,126.92088,0231536770,20221125
3300,drama,두번째 스무살,곱창전골,restaurant,라윤영(정수영)과 서동철(김강현)은 친구와 함께 춤을 추기 위해 이 술집에 온다.,매일 19시 - (익일) 04시,정보없음,연중무휴,서울특별시 마포구 와우산로29길 8,37.554734,126.92944,0231432284,20221125
3301,drama,두번째 스무살,동호대교,playground,1회에서 하노라(최지우 분)는 '우천대학교'에 지원한 부정적인 결과를 받고 눈물을 흘리며 이 다리를 건넌다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 성동구 옥수동,37.535804,127.02145,0222047900,20221125
3302,drama,두번째 스무살,여의도역,station,10회에서 하노라(최지우)가 '데이트 과제'를 위해 학우를 만나러 갈 때 1번 출구로 나온다.15회에서 노라와 차현석(이상윤)은 '데이트 아닌 데이트'를 마치고 이곳(차를 두고)에서 지하철을 탔다.,매일 05시 - (익일) 01시,정보없음,연중무휴,서울특별시 영등포구 여의나루 지하 40,37.521612,126.92423,0263115261,20221125
3303,drama,두번째 스무살,돈화문로11다길,playground,하노라(최지우)는 어린 차현의 도움으로 자신과 가장 친한 친구의 기억을 떠올린다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 돈화문로11다길,37.573123,126.99017,0221485243,20221125
3304,drama,드라마의 제왕,헌화로드라이브코스,playground,1화에서 촬영 스케줄에 맞춰 앤서니 김(김명민)은 오토바이를 타고 서울 방향으로 속도를 내서 이 도로를 달린다.,매일 00시 - 24시,정보없음,연중무휴,강원도 강릉시 강동면 심곡리 헌화로,37.664267,129.05459,0336602018,20221125
3305,drama,드라마의 제왕,켄싱턴호텔 여의도,stay,4회에서 현민이 예상치 못한 안소니와의 작업을 계속하기로 결정한 후 안소니 김(김명민)과 강현민(슈퍼주니어 최시원)이 이 식당에 술을 마시러 왔다.,"매일 입실 15시, 퇴실 11시",정보없음,연중무휴,서울특별시 영등포구 국회대로76길 16,37.530291,126.92187,0266707000,20221125
3306,drama,드림,죽성드림세트장,playground,4화에서 모두가 이사를 다니는 곳으로 이장석(김범)의 체육관이 결정된다.,매일 00시 - 24시,정보없음,연중무휴,부산광역시 기장군 기장읍 죽성리 134-7,35.240998,129.24845,0517095111,20221125
3316,drama,드림하이,라페스타,playground,최종회 16화의 드라마 모든 등장인물의 플래시몹을 이곳에서 촬영했다,매일 00시 - 24시 (가게별 상이),정보없음,연중무휴,경기도 고양시 일산동구 중앙로 1305-56,37.661839,126.76796,050713709600,20221125
3317,drama,드림하이,여의도 KBS방송국,playground,드림하이에서 방송국 건물로 나온다.,매일 09시 - 20시,정보없음,연중무휴,서울특별시 영등포구 여의공원로 13,37.52563,126.91633,027811000,20221125
3318,drama,드림하이,인천아트플랫폼,playground,이 건물 단지는 '기린 미술 학교'로 등장한다.,화-일 09시 - 18시,정보없음,월요일,인천광역시 중구 제물량로218번길 3,37.472906,126.62001,0327601000,20221125
3319,drama,디어 마이 프렌즈,구룡근린공원,playground,배우 영원(박원석)은 5화에서 며느리에게 괴물 시어머니 역을 맡아 이 공원에서 촬영을 한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 월드컵북로 456,37.582996,126.88385,0231538114,20221125
3320,drama,디어 마이 프렌즈,자하주택,stay,디어 마이 프렌즈에서 난희(고두심)는 이곳에 산다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 세검정로6길 70,37.600665,126.96326,0221485092,20221125
3321,drama,디어 마이 프렌즈,중림동약현성당,playground,희자(김혜자)가 미사에 참석해 봉사활동을 하고 있는 교회다. 4화에서 희자가 신부에게 범행을 자백하는 장면이 나온다,매일 00시 - 24시,정보없음,연중무휴,서울특별시 중구 청파로 447-1,37.559115,126.96744,023621891,20221125
3322,drama,따뜻한 말 한마디,장사도 해상공원 까멜리아,playground,따뜻한 말 한마디에서 송미경(김지수)과 유재학(지진희)이 데이트를 한다.,"하절기 매일 08시 - 19시, 동절기 매일 08시 30분 - 17시",정보없음,"설전날,당일",경상남도 통영시 한산면 장사도길 55,34.713673,128.55885,0556330362,20221125
3323,drama,딱 너같은 딸,MBC일산드림센터,playground,8회에서 처음 장면에 백민석(이병준)이 운영하는 홈쇼핑 채널 본사로 나온다,매일 00시 - 24시,정보없음,연중무휴,경기도 고양시 일산동구 호수로 596,37.6547819,126.770815,027894852,20221125
3324,drama,딱 너같은 딸,한국의 집,playground,마인성(이수경 분)은 해외에서 1년 만에 이곳에서 가족들과 재회한다,화-일 11시 30분 - 22시,15시 30분 - 17시,월요일,서울특별시 중구 퇴계로36길 10,37.560304,126.99471,0222669101,20221125
3325,drama,딱밤 한 대가 이별에 미치는 영향,반포대교,playground,구원빈(홍경)이 이 다리를 혼자 걷는다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 서초구 반포동 반포대교,37.512187,126.9976,0221556114,20221125
3326,drama,딱밤 한 대가 이별에 미치는 영향,사직로9길,playground,오진(신예은)은 차민재(강태오)와 만나 헤어지는 장소.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 사직로9길 18,37.577063,126.96776,0221481114,20221125
3327,drama,딱밤 한 대가 이별에 미치는 영향,사직로9길,playground,차민재(강태오)와 헤어졌던 카페를 나와 거리를 걷다 눈물이 글썽한 오진(신예은)이 이 가게를 지나간다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 사직로9길 18,37.577063,126.96776,0221481114,20221125
3328,drama,딱밤 한 대가 이별에 미치는 영향,스태픽스,cafe,차민재(강태오)는 오진(신예은)에게 전날 밤에 있었던 일에 대해 사과하려고 한다.,매일 10시 - 21시,정보없음,5번째 월요일,서울특별시 종로구 사직로9길 22 102호,37.57746,126.96791,050713412055,20221125
3329,drama,딱밤 한 대가 이별에 미치는 영향,세운상가,playground,오진(신예은)은 술 취한 차민재(강태오)와 우연히 마주친 구원빈(홍경)을 이 건물의 출구로 안내한다.,월-토 09시 - 19시(가게별 상이),정보없음,"일요일, 공휴일",서울특별시 종로구 청계천로 159,37.569982,126.99516,0222712344,20221125
3330,drama,딱밤 한 대가 이별에 미치는 영향,대림상가,playground,오진(신예은)과 구원빈(홍경)이 피자를 먹고 있다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 중구 을지로 157,37.5675035,126.995406,0233966680,20221125
3331,drama,딴따라,탄스비치,cafe,딴따라에서 여민주(채정안)와 신석호(지성)가 커피를 마시러 가는 곳이다.,"평일 11시 - 21시, 주말 11시 - 22시",정보없음,연중무휴,부산광역시 기장군 일광면 기장해안로 1322,35.26181,129.23339,,20221125
3332,drama,딴따라,써밋 갤러리,playground,신석호(지성)가 대표로 활약하는 회사 케이탑 엔터테인먼트 사옥이다.,평일 10시 - 17시 30분,정보없음,주말,서울특별시 강남구 영동대로 337,37.504567,127.06475,025565219,20221125
3333,drama,딴따라,푸르지오 써밋,stay,신석호(지성)가 소속된 엔터테인먼트 회사 케이탑의 사옥이다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 강남구 영동대로 337,37.504567,127.06475,025565219,20221125
3334,drama,딴따라,스테이트 타워 남산,playground,OK & GAP ENTERTAINMENT로 나온다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 중구 퇴계로 100,37.560342,126.98297,0260205500,20221125
3335,drama,딴따라,인천국제공항,playground,18회에서 지누(원오원 안효섭)는 팬들과 작별 인사를 하고 신석호(지성)의 전화 인사를 받으며 이곳을 떠났다.,매일 00시 - 24시,정보없음,연중무휴,인천광역시 중구 공항로 272,37.44919,126.4514,15772600,20221125
3336,drama,땐뽀걸즈,고현버스터미널,station,11회에서 김시은(박세완)과 권승찬(장동윤)이 집으로 돌아가는 길에 이곳에 도착한다.,매일 00시 - 24시,정보없음,연중무휴,경상남도 거제시 고현천로 10,34.89104,128.62426,16885003,20221125
3337,drama,땐뽀걸즈,바람의언덕,playground,1회에서 김시은(박세완)은 이태선(연재형)에게 발버둥치는 장면을 회상한다,매일 00시 - 24시,정보없음,연중무휴,경상남도 거제시 남부면 갈곶리 산 14-47 도장포마을,34.743363,128.66332,,20221125
3338,drama,땐뽀걸즈,카페위드,cafe,땐뽀걸즈 10회에서 박혜진(이주영)이 엄마와 함께 등장한다.,매일 09시 - 23시,정보없음,연중무휴,부산광역시 남구 용소로19번길 15,35.1361,129.10154,0516264582,20221125
